household_id,household_created_at
FOYER_37710,2025-04-15 21:01:30.703850
FOYER_12231,2024-12-15 14:33:36.703850
FOYER_28340,2024-06-21 01:38:12.703850
FOYER_43476,2025-01-15 18:02:24.703850
FOYER_26577,2024-07-30 17:32:05.703850
FOYER_09075,2024-09-11 13:28:16.703850
FOYER_19834,2025-03-10 20:51:36.703850
FOYER_41126,2025-05-19 16:01:34.703850
FOYER_26068,2025-02-16 20:57:48.703850
FOYER_08021,2024-09-22 20:42:04.703850
FOYER_28623,2025-04-28 01:55:13.703850
FOYER_24379,2024-08-15 04:37:13.703850
FOYER_18125,2024-07-12 04:33:52.703850
FOYER_18524,2024-10-02 18:29:01.703850
FOYER_28283,2024-09-27 18:29:34.703850
FOYER_37111,2024-12-02 00:33:58.703850
FOYER_35475,2024-09-20 00:30:18.703850
FOYER_30727,2025-04-11 21:30:09.703850
FOYER_12527,2025-09-14 20:48:05.703850
FOYER_29907,2024-09-10 23:12:59.703850
FOYER_25082,2025-05-03 05:54:15.703850
FOYER_38052,2025-05-08 03:17:43.703850
FOYER_01345,2025-07-07 23:13:21.703850
FOYER_36005,2024-11-01 00:37:48.703850
FOYER_11959,2025-02-28 06:08:12.703850
FOYER_21552,2025-05-31 01:53:41.703850
FOYER_01227,2024-09-07 03:57:57.703850
FOYER_11474,2025-06-13 21:23:29.703850
FOYER_22788,2024-06-28 02:51:57.703850
FOYER_00835,2025-06-10 01:34:01.703850
FOYER_21512,2024-10-14 04:48:17.703850
FOYER_27291,2024-11-14 15:03:44.703850
FOYER_05497,2025-08-15 11:12:24.703850
FOYER_09700,2024-12-30 15:58:50.703850
FOYER_33256,2024-08-17 21:18:28.703850
FOYER_33572,2025-11-30 23:01:01.703850
FOYER_16285,2025-02-25 18:54:51.703850
FOYER_35744,2025-04-11 23:02:30.703850
FOYER_20871,2025-01-03 15:26:41.703850
FOYER_26828,2025-09-06 07:05:55.703850
FOYER_35331,2025-09-11 18:34:11.703850
FOYER_27486,2025-01-29 21:34:52.703850
FOYER_38528,2024-09-30 19:41:37.703850
FOYER_09426,2025-06-26 22:26:59.703850
FOYER_16673,2024-07-10 01:25:17.703850
FOYER_18693,2025-09-14 16:48:56.703850
FOYER_31534,2024-12-17 03:44:16.703850
FOYER_01526,2025-06-11 17:21:26.703850
FOYER_09076,2025-06-11 21:54:38.703850
FOYER_01854,2024-11-26 15:51:36.703850
FOYER_08287,2025-04-18 02:41:13.703850
FOYER_04102,2025-10-13 13:00:55.703850
FOYER_36090,2024-11-28 19:08:18.703850
FOYER_23574,2025-03-09 22:31:04.703850
FOYER_02064,2025-09-11 22:09:53.703850
FOYER_17025,2025-04-27 04:13:40.703850
